,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348,cluster_label,graduated
623,2.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,0.0,0.0,0.7000000000000002,-2.0,-2.0,0,0
624,-0.30000000000000004,0.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,0.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-1.3,-2.0,-2.0,1,0
625,-2.0,-2.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.2999999999999998,-0.7,0.2999999999999998,0.0,0.0,-0.30000000000000004,1.2999999999999998,0,1
626,-2.0,-2.0,1.2999999999999998,1.2999999999999998,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
627,-2.0,0.0,0.0,1.0,0.0,1.0,1.2999999999999998,-2.0,-0.7,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,1,0
628,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
629,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
630,2.0,2.0,-0.30000000000000004,1.0,0.0,1.0,1.7000000000000002,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
631,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-2.0,2.0,-2.0,-2.0,0.0,1.0,0.0,0.2999999999999998,1.0,0.7000000000000002,-2.0,-2.0,0,0
632,1.0,0.0,1.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,-2.0,0.7000000000000002,1.2999999999999998,1.7000000000000002,-2.0,-2.0,0,0
633,2.0,1.0,-2.0,-2.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,0.2999999999999998,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,0,0
634,-2.0,-2.0,1.0,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,1.2999999999999998,1.2999999999999998,0.0,1.7000000000000002,1.7000000000000002,0,1
635,0.0,-0.7,0.2999999999999998,1.7000000000000002,1.0,0.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,0.0,0.2999999999999998,0.0,0.0,0.0,-0.7,-0.30000000000000004,0.7000000000000002,0,1
636,0.0,0.2999999999999998,1.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,0.2999999999999998,0.7000000000000002,2.0,0.2999999999999998,1.7000000000000002,1.7000000000000002,0,1
637,0.0,-0.30000000000000004,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.2999999999999998,-1.0,-0.30000000000000004,0.0,-2.0,-1.0,1.2999999999999998,0,0
638,-0.30000000000000004,0.0,2.0,2.0,2.0,2.0,0.0,-2.0,1.0,-2.0,-2.0,0.7000000000000002,0.7000000000000002,2.0,0.2999999999999998,1.2999999999999998,-0.30000000000000004,-2.0,-2.0,0,0
639,-2.0,-2.0,1.0,-2.0,0.0,-1.3,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.2999999999999998,0.0,0.0,0.7000000000000002,-2.0,0.2999999999999998,-2.0,1,1
640,1.0,2.0,1.0,2.0,-2.0,0.7000000000000002,1.7000000000000002,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
641,2.0,2.0,2.0,2.0,0.0,2.0,1.0,-2.0,2.0,-2.0,-2.0,1.0,1.7000000000000002,0.2999999999999998,1.0,0.0,0.2999999999999998,1.0,2.0,0,1
642,-2.0,-2.0,-2.0,-0.7,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
643,1.0,1.2999999999999998,1.0,2.0,1.2999999999999998,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,2.0,1.2999999999999998,1.2999999999999998,1.2999999999999998,2.0,0.7000000000000002,1.0,0,1
644,-2.0,-2.0,1.0,2.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
645,1.0,1.0,2.0,2.0,1.0,0.0,2.0,-2.0,1.2999999999999998,-2.0,-2.0,0.0,1.0,-1.3,0.0,-2.0,0.0,-2.0,-2.0,0,0
646,0.0,-0.7,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.2999999999999998,1.0,0.0,0.0,0.0,-2.0,0.0,0,0
647,-2.0,1.0,2.0,2.0,0.7000000000000002,0.7000000000000002,1.2999999999999998,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,2.0,0.2999999999999998,0.7000000000000002,1.0,0.7000000000000002,-2.0,-2.0,0,0
648,1.0,-0.30000000000000004,0.2999999999999998,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,-2.0,0.2999999999999998,1.0,1.0,0.0,0.7000000000000002,0,0
649,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
650,1.0,1.0,2.0,1.0,2.0,2.0,1.2999999999999998,-2.0,1.7000000000000002,-2.0,-2.0,0.0,2.0,2.0,1.0,0.7000000000000002,1.0,1.0,2.0,0,0
651,1.0,1.0,2.0,1.0,2.0,2.0,1.7000000000000002,-2.0,0.0,-2.0,-2.0,1.0,1.7000000000000002,1.0,1.0,1.0,0.7000000000000002,-2.0,-2.0,0,0
652,1.0,1.2999999999999998,0.0,0.2999999999999998,2.0,1.0,2.0,-2.0,1.7000000000000002,-2.0,-2.0,1.0,1.7000000000000002,1.7000000000000002,1.0,1.0,1.7000000000000002,0.7000000000000002,0.0,0,1
653,1.0,-2.0,-0.30000000000000004,1.7000000000000002,-2.0,-2.0,1.2999999999999998,-2.0,1.7000000000000002,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
654,0.0,-1.0,2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-0.7,0.0,0.7000000000000002,-2.0,0.0,0.0,0,0
655,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,1.7000000000000002,-2.0,-2.0,-2.0,1.0,0.7000000000000002,0,1
656,-2.0,-2.0,-0.30000000000000004,-2.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
657,1.0,0.0,2.0,1.0,1.0,0.2999999999999998,1.7000000000000002,-2.0,0.2999999999999998,-2.0,-2.0,0.0,1.0,-0.7,0.7000000000000002,0.0,-0.7,-2.0,-2.0,0,0
