,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
1021,-1.0,0.0,-0.30000000000000004,2.0,-1.0,0.2999999999999998,1.0,1.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,-2.0,0.2999999999999998,0.7000000000000002,1.0,-2.0,0,0
1022,1.0,-2.0,1.0,2.0,2.0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,1.0,-0.7,1.0,0,1
1023,-2.0,-2.0,0.7000000000000002,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1024,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1025,2.0,2.0,2.0,2.0,0.7000000000000002,1.2999999999999998,2.0,1.0,0.0,-2.0,-2.0,-2.0,1.7000000000000002,2.0,2.0,2.0,2.0,2.0,0,0
1026,0.0,0.2999999999999998,1.0,2.0,0.0,0.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,1.0,0.2999999999999998,-2.0,0.0,-0.30000000000000004,0.0,0.0,0,0
1027,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1028,0.0,-2.0,0.7000000000000002,1.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,1.2999999999999998,-2.0,1.0,1.0,-1.0,1.0,0,1
1029,1.0,2.0,1.0,2.0,2.0,2.0,2.0,-2.0,-2.0,1.0,1.0,2.0,0.7000000000000002,2.0,1.7000000000000002,1.2999999999999998,1.0,2.0,0,1
1030,-1.0,0.0,2.0,-1.0,1.0,-1.3,-2.0,0.2999999999999998,-1.0,-2.0,-2.0,-2.0,0.0,1.0,0.2999999999999998,-0.7,-2.0,1.0,0,0
1031,1.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,-2.0,2.0,-0.30000000000000004,0.7000000000000002,0.7000000000000002,1.0,0.0,1.0,0,1
