,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120,cluster_label,graduated
753,1.0,0.0,0.0,0.7000000000000002,1.0,-2.0,1.0,-2.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,0.2999999999999998,1,1
754,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,2.0,1,1
755,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,0.0,-2.0,-2.0,1.0,0,0
756,2.0,2.0,1.7000000000000002,0.0,-2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,0.0,0.0,1.0,-2.0,1,0
757,0.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,-2.0,-2.0,-2.0,2.0,0,0
758,2.0,1.0,2.0,1.0,1.7000000000000002,-2.0,-2.0,-2.0,1.0,2.0,-2.0,0.0,0.0,1.0,-2.0,1,1
759,1.7000000000000002,-2.0,1.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,1.0,1.0,2.0,-2.0,1,0
760,2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0,0,0
761,2.0,1.0,1.2999999999999998,2.0,1.0,2.0,-2.0,-2.0,2.0,-2.0,1.0,-2.0,-2.0,2.0,-2.0,1,1
762,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-1.3,-2.0,-2.0,2.0,2.0,2.0,-2.0,-2.0,0.0,-2.0,0,0
763,2.0,0.0,-0.7,0.2999999999999998,1.2999999999999998,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
764,-2.0,0.7000000000000002,0.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,1
765,0.0,0.0,-2.0,0.2999999999999998,-1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,1,1
766,1.0,2.0,0.2999999999999998,0.2999999999999998,2.0,1.7000000000000002,-2.0,-2.0,1.0,1.0,1.7000000000000002,-2.0,-2.0,0.2999999999999998,-2.0,1,0
767,1.0,1.0,1.0,0.7000000000000002,-1.0,-2.0,1.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,1
768,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
769,1.0,2.0,2.0,1.7000000000000002,2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1,1
770,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2.0,2.0,2.0,-2.0,1,0
771,-2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,1.0,-2.0,0,0
772,-2.0,1.0,1.0,0.0,0.2999999999999998,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.2999999999999998,-2.0,1.0,-2.0,1,0
773,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
774,0.0,0.0,0.2999999999999998,0.0,0.2999999999999998,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
775,0.0,0.0,-0.30000000000000004,0.2999999999999998,-2.0,0.2999999999999998,-2.0,-2.0,2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,1,0
776,-2.0,1.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0,0
777,1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,0,0
778,2.0,1.7000000000000002,1.0,0.7000000000000002,-2.0,2.0,-2.0,-2.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,1,0
779,1.0,0.0,-0.30000000000000004,-0.30000000000000004,-2.0,1.0,-2.0,-2.0,1.0,0.0,1.0,-2.0,-2.0,1.0,-2.0,1,0
780,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
781,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2.0,-2.0,2.0,-2.0,1,0
782,2.0,0.0,1.7000000000000002,0.7000000000000002,-0.30000000000000004,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,2.0,1,1
783,0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,1,1
784,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
785,1.2999999999999998,2.0,0.7000000000000002,1.2999999999999998,1.0,2.0,-2.0,-2.0,1.0,1.2999999999999998,-2.0,-2.0,-2.0,1.0,-2.0,1,1
786,0.2999999999999998,-0.30000000000000004,0.7000000000000002,0.0,-2.0,-2.0,1.7000000000000002,-2.0,2.0,1.0,1.2999999999999998,1.2999999999999998,-2.0,-2.0,-2.0,1,0
787,0.0,0.0,-0.30000000000000004,-0.7,1.0,-2.0,-2.0,-2.0,1.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,1,1
