,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308,graduated,cluster_label
4355,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4356,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,1.0,1.7000000000000002,-1.3,0.0,0.2999999999999998,0.0,1.0,1.2999999999999998,-2.0,0.2999999999999998,0,1
4357,-1.0,-1.0,2.0,1.2999999999999998,-1.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,1.0,0.7000000000000002,-1.0,0.2999999999999998,0.0,0.0,0.0,1.0,-2.0,0.0,1,1
4358,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4359,0.0,-0.30000000000000004,2.0,0.0,-0.7,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0,0
4360,1.0,-2.0,0.0,1.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,-1.0,0.0,-2.0,0.7000000000000002,-2.0,0.0,1,1
4361,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4362,0.0,-1.0,1.0,0.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.2999999999999998,0.0,0.0,-0.30000000000000004,-0.30000000000000004,1.2999999999999998,-2.0,0.2999999999999998,0,1
4363,0.0,1.0,2.0,-2.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,0.7000000000000002,0.2999999999999998,-0.30000000000000004,-1.3,-2.0,-2.0,-2.0,0.0,0,1
4364,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,-1.3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
